variable,value,label,meta
P21B,NA,21. ¿Cuándo fue la última vez que compraron una radio en su casa? (AÑOS),varlab
P21B,99,NS/NR,NA
P22,NA,22. ¿Cuánto pagaron aproximadamente?,varlab
P22,99,NS/NR,NA
P23,NA,23. ¿Tiene Internet fijo en su casa?,varlab
P23,1,Internet fijo,NA
P23,2,Módem,NA
P23,3,Ninguno,NA
P24,NA,24. ¿Cuánto pagan al mes por este servicio?,varlab
P24,99,NS/NR,NA
P25,NA,25. ¿De qué velocidad es el plan que contrataron?,varlab
P25,1,128 kbps,NA
P25,2,256 kbps,NA
P25,3,512 kbps,NA
P25,4,1 a 2  Mbps,NA
P25,5,De + de 2 a 3 Mbps,NA
P25,6,De + de 3 Mbps,NA
P25,9,NS/NR,NA
P26,NA,"26. Del 1 al 5, donde 1 es pésimo y 5 es excelente ¿qué puntaje le daría a este servicio de Internet fijo?",varlab
P27A,NA,27. ¿Para qué usa mayormente esta conexión a Internet?,varlab
P27A,1,Contactar amigos o familiares,NA
P27A,2,Buscar información,NA
P27A,3,"Comprar, vender o permutar",NA
P27A,4,Fines académicos,NA
P27A,5,Trabajo,NA
P27A,6,Ver noticias,NA
P27A,7,Descargar archivos,NA
P27A,8,Jugar,NA
P27A,9,Escuchar música o ver videos,NA
P27A,10,Redes sociales,NA
P27A,11,Correo electrónico,NA
P27A,12,Otro,NA
P27B,NA,27. ¿Para qué usa mayormente esta conexión a Internet?,varlab
P27B,1,Contactar amigos o familiares,NA
P27B,2,Buscar información,NA
P27B,3,"Comprar, vender o permutar",NA
P27B,4,Fines académicos,NA
P27B,5,Trabajo,NA
P27B,6,Ver noticias,NA
P27B,7,Descargar archivos,NA
P27B,8,Jugar,NA
P27B,9,Escuchar música o ver videos,NA
P27B,10,Redes sociales,NA
P27B,11,Correo electrónico,NA
P27B,12,Otro,NA
P27C,NA,27. ¿Para qué usa mayormente esta conexión a Internet?,varlab
P27C,1,Contactar amigos o familiares,NA
P27C,2,Buscar información,NA
P27C,3,"Comprar, vender o permutar",NA
P27C,4,Fines académicos,NA
P27C,5,Trabajo,NA
P27C,6,Ver noticias,NA
P27C,7,Descargar archivos,NA
P27C,8,Jugar,NA
P27C,9,Escuchar música o ver videos,NA
P27C,10,Redes sociales,NA
P27C,11,Correo electrónico,NA
P27C,12,Otro,NA
P27E,NA,27. ¿Para qué usa mayormente esta conexión a Internet?,varlab
P27E,1,Contactar amigos o familiares,NA
P27E,2,Buscar información,NA
P27E,3,"Comprar, vender o permutar",NA
P27E,4,Fines académicos,NA
P27E,5,Trabajo,NA
P27E,6,Ver noticias,NA
